Course Code,Course Description
BSIT,Bachelor of Information Technology
BSCS,Bachelor of Science in Computer Science
BSCHE,Bachelor of Science in Chemical Engineering
BSEE,Bachelor of Science in Electrical Engineering
BSENE,Bachelor of Science in Environmental Engineering
BAPSYCH,Bachelor of Arts in Psychology
BSPSYCH,Bachelor of Science in Psychology
BSBIO,Bachelor of Science in Biology
BSED-FIL,Bachelor of Secondary Education Filipino
BSE,Bachelor of Science Major in Entrepreneurship
BSCA,Bachelor of Science in Computer Applications
